Afghanistan,14,29
Albania,0,36
Algeria,86,130
American Samoa,0,1
Angola,45,33
Anguilla,0,6
Antigua and Barbuda,0,35
Argentina,166,89
Armenia,0,46
Aruba,0,44
Australia,776,336
Austria,15,373
Azerbaijan,3,69
Bahamas,62,85
Bahrain,0,84
Bangladesh,33,71
Barbados,0,23
Belarus,0,54
Belgium,1,411
Belize,4,17
Benin,0,41
Bermuda,0,15
Bhutan,0,5
Bolivia,81,23
Bosnia and Herzegovina,2,20
Botswana,8,14
Brazil,1195,200
British Virgin Islands,0,16
Brunei,0,23
Bulgaria,6,83
Burkina Faso,2,33
Burma,63,41
Burundi,0,13
Cambodia,7,65
Cameroon,19,53
Canada,1167,682
Cape Verde,21,37
Cayman Islands,6,23
Central African Republic,0,3
Chad,0,9
Chile,97,60
China,6877,1192
Christmas Island,0,2
Cocos (Keeling) Islands,0,1
Colombia,233,120
Comoros,0,10
Congo (Brazzaville),10,34
Congo (Kinshasa),39,26
Cook Islands,13,8
Costa Rica,55,67
Cote d'Ivoire,0,50
Croatia,22,182
Cuba,18,78
Cyprus,0,149
Czech Republic,4,188
Denmark,23,286
Djibouti,0,23
Dominica,0,17
Dominican Republic,5,159
East Timor,0,4
Ecuador,55,41
Egypt,39,266
El Salvador,0,53
Equatorial Guinea,2,14
Eritrea,1,7
Estonia,2,39
Ethiopia,32,95
Falkland Islands,0,1
Faroe Islands,0,4
Fiji,28,41
Finland,56,163
France,483,1443
French Guiana,0,7
French Polynesia,91,17
Gabon,0,25
Gambia,0,13
Georgia,3,45
Germany,212,2140
Ghana,20,44
Gibraltar,0,6
Greece,235,552
Greenland,53,3
Grenada,0,14
Guadeloupe,6,27
Guam,0,35
Guatemala,2,38
Guernsey,2,18
Guinea,0,18
Guinea-Bissau,0,7
Guyana,0,9
Haiti,2,25
Honduras,23,44
Hong Kong,0,354
Hungary,0,100
Iceland,6,46
India,1057,449
Indonesia,611,220
Iran,304,121
Iraq,0,76
Ireland,4,291
Isle of Man,0,11
Israel,12,135
Italy,425,1351
Jamaica,3,72
Japan,623,658
Jersey,0,38
Jordan,2,110
Kazakhstan,106,101
Kenya,68,133
Kiribati,0,7
Kuwait,0,120
Kyrgyzstan,6,70
Laos,20,30
Latvia,0,101
Lebanon,0,67
Lesotho,0,1
Liberia,0,18
Libya,21,63
Lithuania,0,80
Luxembourg,0,70
Macau,0,79
Macedonia,0,23
Madagascar,42,25
Malawi,2,15
Malaysia,256,307
Maldives,16,40
Mali,0,28
Malta,0,113
Marshall Islands,2,5
Martinique,0,23
Mauritania,6,13
Mauritius,2,40
Mayotte,0,15
Mexico,577,484
Micronesia,4,5
Moldova,0,34
Mongolia,21,13
Montenegro,0,27
Morocco,21,288
Mozambique,38,23
Namibia,13,19
Nauru,0,3
Nepal,18,35
Netherlands,4,566
Netherlands Antilles,14,87
New Caledonia,23,13
New Zealand,114,104
Nicaragua,0,15
Niger,0,17
Nigeria,62,64
Niue,0,1
Norfolk Island,0,3
North Korea,0,5
Northern Mariana Islands,2,10
Norway,302,341
Oman,4,108
Pakistan,116,166
Palau,0,10
Panama,9,108
Papua New Guinea,138,17
Paraguay,4,18
Peru,98,84
Philippines,240,155
Poland,24,339
Portugal,101,429
Puerto Rico,14,102
Qatar,0,189
Reunion,0,22
Romania,27,151
Russia,964,875
Rwanda,2,39
Saint Kitts and Nevis,4,15
Saint Lucia,0,30
Saint Pierre and Miquelon,0,3
Saint Vincent and the Grenadines,0,4
Samoa,0,5
Sao Tome and Principe,0,3
Saudi Arabia,155,397
Senegal,4,66
Serbia,0,106
Seychelles,2,12
Sierra Leone,0,22
Singapore,0,408
Slovakia,3,23
Slovenia,0,33
Solomon Islands,46,8
Somalia,17,15
South Africa,119,149
South Korea,82,505
South Sudan,0,12
Spain,579,1951
Sri Lanka,13,101
Sudan,17,35
Suriname,0,10
Swaziland,0,1
Sweden,167,307
Switzerland,10,419
Taiwan,26,385
Tajikistan,0,96
Tanzania,34,42
Thailand,202,403
Togo,0,20
Tonga,0,5
Trinidad and Tobago,2,37
Tunisia,17,177
Turkey,306,670
Turkmenistan,0,15
Turks and Caicos Islands,10,28
Tuvalu,0,1
Uganda,4,31
Ukraine,28,185
United Arab Emirates,9,739
United Kingdom,309,2354
United States,10518,2503
Uruguay,0,26
Uzbekistan,21,120
Vanuatu,80,16
Venezuela,125,66
Vietnam,126,161
Virgin Islands,4,39
Wallis and Futuna,2,2
Western Sahara,0,7
Yemen,35,58
Zambia,12,41
Zimbabwe,6,31
unknown,93,636
